iter	Logloss
0	0.6533843082
1	0.622989682
2	0.6087407893
3	0.5964609014
4	0.5786893521
5	0.5703489799
6	0.5637061345
7	0.5580908957
8	0.553157928
9	0.5485084121
10	0.5404542175
11	0.5373835054
12	0.5349096853
13	0.5327759012
14	0.5280594486
15	0.5244196909
16	0.523139242
17	0.5205923799
18	0.5196804459
19	0.5184089873
20	0.5176814016
21	0.5158674016
22	0.5152044978
23	0.5147600596
24	0.513491513
25	0.5128963934
26	0.5125203843
27	0.5120936427
28	0.5116755543
29	0.5114072637
30	0.5110112675
31	0.5107255336
32	0.510344144
33	0.5094666357
34	0.5092975881
35	0.5090088233
36	0.5087862265
37	0.5086228199
38	0.5084230448
39	0.508216929
40	0.5080134446
41	0.5078493559
42	0.5077144314
43	0.5076109407
44	0.5074689172
45	0.5073348804
46	0.5071879233
47	0.5071002208
48	0.5070027916
49	0.5065816861
50	0.5064993568
51	0.5062275233
52	0.506128193
53	0.5060639527
54	0.5059705148
55	0.5059092665
56	0.5058385865
57	0.5057698929
58	0.5057258838
59	0.5056872227
60	0.5056164122
61	0.5055612062
62	0.5055189309
63	0.5054319723
64	0.5053689059
65	0.5052916605
66	0.5051943748
67	0.50513504
68	0.5050773741
69	0.5049891263
70	0.5049166344
71	0.50486967
72	0.5048127012
73	0.5047715405
74	0.5046939881
75	0.504646082
76	0.5046093799
77	0.5044168007
78	0.5043727836
79	0.5043353912
80	0.5042830432
81	0.5042335451
82	0.5041992468
83	0.5041654305
84	0.5041309881
85	0.5041005977
86	0.5040662775
87	0.5040374578
88	0.5039732432
89	0.5039268823
90	0.5038831137
91	0.5038619018
92	0.5038205584
93	0.5037841439
94	0.5037468827
95	0.5037264215
96	0.5035934269
97	0.5035575983
98	0.503522781
99	0.5034909629
100	0.5033702032
101	0.503341232
102	0.5033186954
103	0.5032904583
104	0.5032654924
105	0.5032351496
106	0.5032046831
107	0.5031718231
108	0.5031366656
109	0.5031054156
110	0.5030824631
111	0.5030567634
112	0.5030303624
113	0.5030052311
114	0.5029779657
115	0.502952532
116	0.5029257535
117	0.5029003566
118	0.502869194
119	0.502849913
120	0.502828268
121	0.5028092621
122	0.502770507
123	0.5027270358
124	0.5027046371
125	0.5026859156
126	0.5026677585
127	0.5026429758
128	0.5026145881
129	0.5025878976
130	0.5025749033
131	0.5025627996
132	0.5025376346
133	0.5025216175
134	0.5025065525
135	0.5024868428
136	0.5024715802
137	0.502447501
138	0.5024248238
139	0.5023977557
140	0.5023750758
141	0.5023510643
142	0.5023325348
143	0.5023125288
144	0.502289528
145	0.5022642249
146	0.5022469197
147	0.5022338737
148	0.5022057155
149	0.5021890347
150	0.5021745673
151	0.5021615574
152	0.5021433464
153	0.5021197
154	0.5020991305
155	0.5020764348
156	0.502064234
157	0.5020320785
158	0.5020159716
159	0.5020010603
160	0.5019712605
161	0.5019519864
162	0.5019316982
163	0.5019177192
164	0.5019002026
165	0.5018911747
166	0.501874839
167	0.5018618702
