iter	Passed	Remaining
0	76	61519
1	93	37469
2	109	29192
3	126	25109
4	142	22626
5	158	20986
6	174	19732
7	190	18815
8	206	18111
9	221	17506
10	237	17062
11	254	16684
12	269	16338
13	286	16060
14	302	15814
15	317	15579
16	333	15378
17	350	15219
18	366	15064
19	382	14921
20	398	14798
21	415	14688
22	431	14584
23	447	14483
24	464	14384
25	480	14297
26	497	14246
27	514	14177
28	530	14104
29	547	14047
30	563	13971
31	579	13906
32	595	13837
33	611	13787
34	628	13730
35	644	13671
36	660	13620
37	676	13569
38	692	13515
39	709	13472
40	725	13429
41	741	13377
42	757	13329
43	772	13280
44	788	13227
45	804	13186
46	820	13145
47	836	13103
48	852	13067
49	868	13023
50	884	12991
51	900	12950
52	915	12902
53	931	12864
54	946	12826
55	962	12788
56	977	12741
57	993	12706
58	1008	12670
59	1024	12632
60	1040	12606
61	1055	12569
62	1070	12525
63	1087	12502
64	1102	12469
65	1118	12440
66	1134	12408
67	1150	12379
68	1165	12345
69	1181	12322
70	1197	12299
71	1213	12274
72	1229	12248
73	1245	12223
74	1261	12190
75	1276	12163
76	1292	12135
77	1308	12109
78	1324	12089
79	1340	12062
80	1355	12036
81	1371	12007
82	1387	11986
83	1403	11959
84	1419	11937
85	1435	11915
86	1449	11882
87	1464	11851
88	1479	11820
89	1495	11800
90	1511	11776
91	1527	11754
92	1545	11747
93	1562	11732
94	1578	11710
95	1593	11687
96	1610	11668
97	1625	11644
98	1642	11629
99	1657	11604
100	1673	11579
101	1689	11562
102	1704	11532
103	1719	11507
104	1735	11484
105	1750	11461
106	1766	11440
107	1781	11415
108	1797	11397
109	1813	11376
110	1829	11357
111	1844	11332
112	1859	11307
113	1874	11280
114	1890	11259
115	1906	11241
116	1922	11222
117	1938	11202
118	1953	11180
119	1969	11157
120	1985	11139
121	2000	11120
122	2015	11096
123	2030	11069
124	2046	11052
125	2062	11032
126	2081	11032
127	2099	11020
128	2114	10999
129	2130	10980
130	2146	10959
131	2161	10936
132	2176	10916
133	2192	10897
134	2207	10876
135	2223	10854
136	2238	10830
137	2253	10811
138	2268	10788
139	2284	10768
140	2299	10745
141	2314	10724
142	2329	10703
143	2344	10679
144	2360	10661
145	2376	10643
146	2392	10627
147	2408	10611
148	2423	10590
149	2439	10570
150	2453	10547
151	2468	10522
152	2482	10499
153	2497	10478
154	2512	10456
155	2528	10438
156	2544	10421
157	2560	10405
158	2575	10384
159	2590	10363
160	2606	10345
161	2621	10322
162	2636	10302
163	2651	10284
164	2668	10269
165	2683	10247
166	2697	10225
167	2713	10206
168	2729	10190
169	2743	10166
170	2758	10146
171	2774	10131
172	2789	10111
173	2805	10092
174	2819	10070
175	2834	10048
176	2850	10033
177	2865	10012
178	2880	9992
179	2895	9971
180	2910	9955
181	2926	9937
182	2941	9918
183	2956	9898
184	2972	9880
185	2988	9864
186	3003	9845
187	3017	9823
188	3032	9805
189	3048	9787
190	3063	9767
191	3078	9747
192	3092	9727
193	3107	9706
194	3122	9686
195	3136	9664
196	3152	9649
197	3167	9630
198	3181	9609
199	3196	9589
200	3210	9567
201	3225	9549
202	3239	9528
203	3255	9512
204	3270	9493
205	3286	9475
206	3300	9453
207	3315	9435
208	3329	9415
209	3345	9399
210	3361	9382
211	3375	9362
212	3390	9344
213	3405	9325
214	3421	9310
215	3437	9294
216	3452	9275
217	3467	9257
218	3482	9238
219	3498	9223
220	3512	9202
221	3529	9188
222	3544	9170
223	3558	9149
224	3572	9128
225	3589	9115
226	3603	9096
227	3619	9080
228	3635	9064
229	3650	9047
230	3667	9033
231	3684	9020
232	3699	9001
233	3713	8981
234	3727	8961
235	3742	8943
236	3756	8923
237	3771	8904
238	3787	8889
239	3802	8871
240	3816	8853
241	3831	8835
242	3847	8820
243	3862	8800
244	3876	8781
245	3892	8764
246	3905	8744
247	3921	8728
248	3935	8708
249	3950	8691
250	3964	8670
251	3978	8651
252	3993	8633
253	4007	8613
254	4022	8596
255	4038	8581
256	4053	8565
257	4069	8550
258	4085	8534
259	4101	8519
260	4117	8503
261	4133	8487
262	4148	8469
263	4163	8452
264	4177	8433
265	4192	8415
266	4206	8396
267	4220	8377
268	4235	8361
269	4249	8340
270	4263	8322
271	4278	8305
272	4293	8288
273	4309	8273
274	4325	8257
275	4340	8240
276	4356	8224
277	4371	8207
278	4385	8188
279	4399	8170
280	4414	8152
281	4429	8135
282	4444	8118
283	4459	8102
284	4473	8082
285	4487	8065
286	4502	8047
287	4517	8030
288	4532	8014
289	4545	7994
290	4560	7977
291	4576	7961
292	4591	7944
293	4606	7927
294	4619	7908
295	4633	7890
296	4648	7872
297	4662	7854
298	4677	7838
299	4692	7820
300	4707	7803
301	4722	7786
302	4736	7768
303	4750	7751
304	4764	7732
305	4778	7714
306	4794	7698
307	4808	7680
308	4823	7664
309	4837	7646
310	4851	7627
311	4866	7611
312	4880	7593
313	4895	7577
314	4910	7561
315	4925	7544
316	4941	7529
317	4955	7511
318	4970	7495
319	4985	7477
320	5001	7462
321	5016	7447
322	5031	7431
323	5046	7413
324	5061	7397
325	5075	7379
326	5090	7363
327	5105	7346
328	5119	7329
329	5135	7313
330	5149	7296
331	5163	7278
332	5179	7263
